iteration,energy
0,6.002499999999999
1,-14.73135905167922
2,-39.039065478210716
3,-66.88205950921997
4,-97.21869986802145
5,-127.69423362963639
6,-155.14901177451674
7,-176.96664020097427
8,-192.15246103001306
9,-201.3638613636792
10,-206.23146154962558
11,-208.4996838186527
12,-209.45378164919643
13,-209.82593441417256
14,-209.96380779558461
15,-210.01321743034742
16,-210.0305633032179
17,-210.036577546891
18,-210.03864754429625
19,-210.03935695379877
20,-210.03959947960763
21,-210.03968227796813
22,-210.03971052435136
23,-210.0397201568941
24,-210.03972344123542
25,-210.0397245610295
26,-210.03972494283474
27,-210.03972507302518
28,-210.0397251174243
29,-210.03972513256804
30,-210.0397251377353
31,-210.03972513949964
32,-210.03972514010212
33,-210.03972514030963
34,-210.0397251403814
35,-210.03972514040564
36,-210.03972514041538
37,-210.03972514041845
38,-210.03972514041993
