iteration,energy
0,6.002499999999996
1,-16.801960883362284
2,-43.23203323407624
3,-73.08192084093872
4,-105.00184018656833
5,-136.31036928918593
6,-163.7564176100735
7,-184.96358668377428
8,-199.30918646232428
9,-207.75682306534583
10,-212.09459187596624
11,-214.0682756972703
12,-214.88598960184262
13,-215.20429407306472
14,-215.32444414966733
15,-215.36991167090017
16,-215.3878575689351
17,-215.3956014446339
18,-215.3994108966908
19,-215.4015741299413
20,-215.40295834685259
21,-215.4039176566029
22,-215.40461420857363
23,-215.40513324201282
24,-215.405525724831
25,-215.4058251905666
26,-215.40605507696378
27,-215.4062323546388
28,-215.4063695669234
29,-215.40647610272995
30,-215.40655904964095
31,-215.40662379151132
32,-215.4066744384441
33,-215.40671414134843
34,-215.40674532467398
35,-215.40676986002111
36,-215.40678919649557
37,-215.4068044591215
38,-215.40681652349232
39,-215.40682607263383
40,-215.4068336404878
41,-215.40683964527514
42,-215.4068444151787
43,-215.40684820816838
44,-215.4068512273492
45,-215.40685363287025
46,-215.40685555118924
47,-215.40685708229293
48,-215.40685830533798
49,-215.40685928306485
50,-215.40686006525914
51,-215.40686069146722
52,-215.40686119313486
53,-215.40686159529085
54,-215.40686191787412
55,-215.40686217678285
56,-215.40686238470414
57,-215.40686255177
58,-215.406862686079
59,-215.40686279410755
60,-215.40686288104098
61,-215.40686295103075
62,-215.40686300740478
63,-215.40686305283108
64,-215.40686308945152
65,-215.4068631189847
66,-215.40686314281137
67,-215.40686316204182
68,-215.40686317756757
69,-215.4068631901074
70,-215.40686320023872
71,-215.40686320842667
72,-215.4068632150464
73,-215.4068632203997
74,-215.40686322473016
75,-215.40686322823436
76,-215.40686323107101
77,-215.40686323336706
78,-215.4068632352267
79,-215.40686323673307
80,-215.40686323795347
81,-215.4068632389427
82,-215.40686323974447
83,-215.40686324039464
84,-215.4068632409218
85,-215.4068632413493
86,-215.40686324169656
87,-215.40686324197807
88,-215.40686324220675
89,-215.40686324239206
90,-215.4068632425425
91,-215.406863242665
92,-215.4068632427643
93,-215.4068632428451
94,-215.40686324291093
95,-215.40686324296416
96,-215.40686324300756
97,-215.40686324304295
98,-215.4068632430712
99,-215.40686324309448
100,-215.40686324311343
101,-215.40686324312892
102,-215.40686324314146
103,-215.4068632431514
104,-215.4068632431599
105,-215.4068632431668
106,-215.40686324317215
107,-215.40686324317656
108,-215.40686324318017
109,-215.4068632431831
110,-215.40686324318565
111,-215.40686324318756
112,-215.40686324318915
