iteration,energy
0,6.002500000000017
1,-20.90456517735946
2,-49.77577573099972
3,-81.16679762633312
4,-113.7858523161038
5,-145.0339538277248
6,-172.00718351565058
7,-192.67058432251395
8,-206.52535242932134
9,-214.58283372367362
10,-218.66248220789726
11,-220.49226660218767
12,-221.23807369579728
13,-221.52182588581047
14,-221.6249481837985
15,-221.66138348164338
16,-221.67406332270593
17,-221.67845657094233
18,-221.67998980914828
19,-221.6805381466949
20,-221.68074486249614
21,-221.68083049841061
22,-221.68087119836986
23,-221.68089376072598
24,-221.68090800601215
25,-221.68091781224632
26,-221.68092490180837
27,-221.68093016126102
28,-221.68093411619168
29,-221.68093711258567
30,-221.68093939326633
31,-221.68094113477602
32,-221.68094246790778
33,-221.68094349057827
34,-221.68094427655458
35,-221.68094488164726
36,-221.68094534821702
37,-221.68094570850852
38,-221.6809459871136
39,-221.6809462028335
40,-221.6809463700683
41,-221.6809464998684
42,-221.6809466007252
43,-221.68094667917615
44,-221.68094674026023
45,-221.6809467878692
46,-221.6809468250103
47,-221.68094685401115
48,-221.68094687667343
49,-221.68094689439943
50,-221.68094690827516
51,-221.6809469191444
52,-221.68094692766576
53,-221.68094693435236
54,-221.68094693959966
55,-221.68094694372223
56,-221.6809469469648
57,-221.68094694951475
58,-221.68094695152112
59,-221.6809469531024
60,-221.68094695434766
61,-221.68094695533074
62,-221.68094695610586
63,-221.68094695671672
64,-221.68094695720058
65,-221.68094695758242
66,-221.680946957884
67,-221.68094695812277
68,-221.68094695831195
69,-221.68094695846176
70,-221.6809469585801
71,-221.68094695867353
72,-221.6809469587485
73,-221.6809469588081
74,-221.6809469588544
75,-221.6809469588925
76,-221.68094695892188
77,-221.68094695894487
78,-221.68094695896363
79,-221.68094695897847
80,-221.68094695899018
81,-221.68094695899902
82,-221.68094695900646
83,-221.68094695901286
84,-221.6809469590175
85,-221.68094695902093
86,-221.68094695902417
87,-221.68094695902724
88,-221.68094695902786
