iteration,energy
0,9.427641417727513
1,-57.895471423871264
2,-135.11800586346246
3,-221.9346248089738
4,-315.3097517893368
5,-408.73182160307766
6,-493.29657180227696
7,-561.0756404026689
8,-608.5293213202268
9,-637.3343102337432
10,-652.5182313459376
11,-659.57145634207
12,-662.5306827866551
13,-663.6830084591268
14,-664.1095374698618
15,-664.262347536527
16,-664.3159999815274
17,-664.3346107965076
18,-664.3410212502584
19,-664.3432209920479
20,-664.3439747169516
21,-664.3442331391569
22,-664.344322047739
23,-664.3443528918509
24,-664.3443637824487
25,-664.3443677648888
26,-664.3443693181566
27,-664.3443699904551
28,-664.3443703244096
29,-664.3443705154948
30,-664.344370637831
31,-664.3443707220615
32,-664.3443707825188
33,-664.3443708269047
34,-664.3443708599024
35,-664.3443708846188
36,-664.3443709032321
37,-664.3443709172965
38,-664.3443709279617
39,-664.3443709360729
40,-664.3443709422547
41,-664.3443709469758
42,-664.3443709505927
43,-664.3443709533655
44,-664.3443709555036
45,-664.3443709571449
46,-664.3443709584135
47,-664.3443709593953
48,-664.3443709601532
49,-664.3443709607433
50,-664.3443709612005
51,-664.3443709615569
52,-664.344370961831
53,-664.3443709620502
54,-664.3443709622187
