iteration,energy
0,9.411791570361371
1,-55.41654727794254
2,-130.13819466917548
3,-214.41982678347645
4,-305.42987965756345
5,-397.0655190609852
6,-480.6254742866675
7,-547.7454066526241
8,-594.3060297402154
9,-622.0346579524278
10,-636.3474494494752
11,-642.8875340276923
12,-645.6038518639651
13,-646.656553915529
14,-647.0459398540518
15,-647.1858952134313
16,-647.2354767604004
17,-647.2530216513027
18,-647.2593285356069
19,-647.2616943603373
20,-647.2626603460569
21,-647.2631118173882
22,-647.2633604222196
23,-647.2635189046415
24,-647.2636304608436
25,-647.263713433698
26,-647.2637768622952
27,-647.2638259864167
28,-647.2638642692934
29,-647.2638941967101
30,-647.2639176330184
31,-647.2639360068405
32,-647.2639504241271
33,-647.2639617452636
34,-647.2639706412954
35,-647.2639776363733
36,-647.2639831403169
37,-647.2639874738111
38,-647.263990887971
39,-647.2639935795662
40,-647.2639957028829
41,-647.2639973789737
42,-647.2639987028801
43,-647.2639997492652
44,-647.2640005768247
45,-647.2640012317306
46,-647.264001750325
47,-647.2640021612316
48,-647.2640024870125
49,-647.2640027454589
50,-647.2640029506099
51,-647.2640031135535
52,-647.2640032430483
53,-647.2640033460212
54,-647.2640034279509
55,-647.2640034931752
56,-647.2640035451279
57,-647.2640035865332
58,-647.26400361955
59,-647.2640036458927
60,-647.2640036669209
61,-647.264003683716
62,-647.2640036971356
63,-647.2640037078658
64,-647.2640037164476
65,-647.2640037233158
66,-647.2640037288154
67,-647.2640037332205
68,-647.264003736751
69,-647.264003739581
70,-647.2640037418519
71,-647.2640037436737
72,-647.2640037451366
73,-647.2640037463108
74,-647.2640037472547
75,-647.264003748014
76,-647.2640037486236
77,-647.2640037491149
78,-647.2640037495097
79,-647.2640037498279
80,-647.2640037500839
81,-647.2640037502908
82,-647.2640037504565
