iteration,energy
0,6.002500000000036
1,-14.822258826937258
2,-39.26942154240827
3,-67.25906440431531
4,-97.63382705557873
5,-127.96778883755921
6,-155.2354635144689
7,-176.98782867484374
8,-192.18832212307797
9,-201.40332180090078
10,-206.25723376337965
11,-208.51228739935468
12,-209.459014916181
13,-209.8279114754904
14,-209.9645147421734
15,-210.01346227809637
16,-210.03064656892232
17,-210.03660557482146
18,-210.03865692688967
19,-210.0393600860499
20,-210.03960052403713
21,-210.0396826261297
22,-210.03971064043782
23,-210.03972019561346
24,-210.03972345415798
25,-210.03972456534632
26,-210.03972494427467
27,-210.03972507350647
28,-210.03972511758175
29,-210.03972513261849
30,-210.03972513776293
31,-210.039725139495
32,-210.0397251401116
33,-210.03972514030576
34,-210.03972514037318
35,-210.0397251404062
36,-210.0397251404122
37,-210.03972514041573
38,-210.03972514041612
