iteration,energy
0,6.002499999999998
1,-16.971369929411637
2,-43.53886314008616
3,-73.47972130213947
4,-105.34215872122678
5,-136.4479889031665
6,-163.7447360809169
7,-184.96643140189101
8,-199.37828352705841
9,-207.854689929647
10,-212.191819101879
11,-214.15819308694512
12,-214.9702090726903
13,-215.28516470172207
14,-215.40350984690966
15,-215.44803385402545
16,-215.46549786115895
17,-215.47300615201812
18,-215.47671147445405
19,-215.47884009616456
20,-215.48022542088069
21,-215.48120301902935
22,-215.4819249246895
23,-215.48247096751274
24,-215.4828893479132
25,-215.48321231086993
26,-215.48346282213996
27,-215.48365781788428
28,-215.48381002782793
29,-215.48392912535596
30,-215.48402251241583
31,-215.48409588072988
32,-215.48415362373808
33,-215.48419914365712
34,-215.48423508254297
35,-215.484263497329
36,-215.48428599311777
37,-215.4843038250884
38,-215.484317976718
39,-215.48432921999714
40,-215.48433816194537
41,-215.48434528062327
42,-215.48435095308997
43,-215.48435547715735
44,-215.48435908835626
45,-215.48436197319458
46,-215.4843642795308
47,-215.48436612471338
48,-215.48436760197436
49,-215.48436878546255
50,-215.48436973420016
51,-215.4843704952109
52,-215.48437110599824
53,-215.48437159649077
54,-215.48437199059146
55,-215.4843723074053
56,-215.48437256221715
57,-215.48437276725684
58,-215.48437293232428
59,-215.48437306526878
60,-215.48437317238898
61,-215.48437325873724
62,-215.4843733283674
63,-215.484373384538
64,-215.4843734298693
65,-215.4843734664646
66,-215.48437349601792
67,-215.484373519893
68,-215.48437353918678
69,-215.4843735547824
70,-215.4843735673946
71,-215.48437357759477
72,-215.48437358584715
73,-215.4843735925273
74,-215.48437359793365
75,-215.48437360231233
76,-215.48437360585942
77,-215.48437360873277
78,-215.48437361106016
79,-215.48437361294827
80,-215.4843736144773
81,-215.4843736157168
82,-215.484373616724
83,-215.48437361754097
84,-215.48437361820277
85,-215.48437361873962
86,-215.4843736191769
87,-215.4843736195305
88,-215.48437361981752
89,-215.484373620052
90,-215.48437362024134
91,-215.48437362039536
92,-215.48437362052016
93,-215.484373620623
94,-215.48437362070538
95,-215.484373620773
96,-215.48437362082757
97,-215.48437362087202
98,-215.48437362090792
99,-215.48437362093784
100,-215.4843736209616
101,-215.4843736209806
102,-215.48437362099605
103,-215.484373621009
104,-215.48437362102067
105,-215.48437362102848
106,-215.48437362103502
107,-215.48437362104085
108,-215.48437362104693
109,-215.48437362105014
110,-215.4843736210523
111,-215.48437362105565
112,-215.48437362105838
113,-215.48437362105935
