iteration,energy
0,6.002500000000045
1,-23.50712172453588
2,-52.67174374498582
3,-84.19841473214966
4,-116.86727726417558
5,-148.1199857987482
6,-175.10431154288764
7,-195.78478076491032
8,-209.64300334398632
9,-217.69426069535564
10,-221.76713931813455
11,-223.5927064035516
12,-224.3364630232647
13,-224.61934325805527
14,-224.72211650034512
15,-224.75841211843255
16,-224.77103306825876
17,-224.77539910846383
18,-224.7769183758051
19,-224.7774588418738
20,-224.7776608185732
21,-224.7777434818289
22,-224.77778227385417
23,-224.77780359729442
24,-224.77781703424827
25,-224.77782631294335
26,-224.7778330593296
27,-224.77783809699017
28,-224.7778419100554
29,-224.77784481708338
30,-224.77784704273438
31,-224.77784875151067
32,-224.7778500662142
33,-224.77785107952317
34,-224.7778518617292
35,-224.77785246640428
36,-224.77785293444327
37,-224.77785329718375
38,-224.77785357863542
39,-224.77785379725984
40,-224.77785396726438
41,-224.77785409958534
42,-224.77785420268333
43,-224.777854283085
44,-224.77785434584106
45,-224.77785439486004
46,-224.77785443318652
47,-224.77785446317523
48,-224.77785448665642
49,-224.77785450505752
50,-224.77785451948625
51,-224.77785453080872
52,-224.77785453969958
53,-224.77785454668552
54,-224.77785455217787
55,-224.77785455649683
56,-224.77785455989556
57,-224.77785456257308
58,-224.77785456468615
59,-224.77785456634865
60,-224.77785456766335
61,-224.7778545686996
62,-224.77785456952031
63,-224.7778545701661
64,-224.77785457067662
65,-224.7778545710783
66,-224.77785457139979
67,-224.77785457165436
68,-224.77785457185377
69,-224.77785457201085
70,-224.77785457213486
71,-224.77785457224005
72,-224.7778545723192
73,-224.77785457237735
74,-224.77785457242808
75,-224.777854572466
76,-224.77785457249598
77,-224.77785457252352
78,-224.77785457254095
79,-224.77785457255874
80,-224.77785457257013
81,-224.77785457258295
82,-224.77785457259208
83,-224.77785457259722
84,-224.77785457260038
85,-224.77785457260657
86,-224.77785457260995
87,-224.7778545726089
88,-224.7778545726129
89,-224.77785457261336
