iteration,energy
0,12.819403918124985
1,-2.687895629767726
2,-8.761367057478848
3,-11.687715629392596
4,-13.250206705302467
5,-14.14122278296843
6,-14.672819284262307
7,-15.000371868310932
8,-15.206979668143061
9,-15.33953211124944
10,-15.425601030571503
11,-15.4819320235714
12,-15.518959620029708
13,-15.54332013059799
14,-15.559303610524317
15,-15.569719426950982
16,-15.576425920629827
17,-15.580661721669546
18,-15.583256866936594
19,-15.584769437283366
20,-15.58557515265063
21,-15.585926763257284
22,-15.585993773353016
23,-15.58588920381268
24,-15.585687725781387
25,-15.585438000268862
26,-15.585171099601475
27,-15.584906264031709
28,-15.584654837719661
29,-15.584422956684588
30,-15.584213379327844
31,-15.584026727220484
32,-15.583862320280907
33,-15.583718733326743
34,-15.583594161727802
35,-15.583486656813276
36,-15.583394272959556
37,-15.583315155304888
38,-15.58324758802699
39,-15.58319001686279
40,-15.583141055205251
41,-15.583099480100888
42,-15.58306422238659
43,-15.583034353768438
44,-15.583009072657998
45,-15.582987689910471
46,-15.582969615153704
47,-15.582954344094478
48,-15.582941446988809
49,-15.582930558335427
50,-15.582921367771835
51,-15.58291361210632
52,-15.582907068393622
53,-15.582901547952087
54,-15.582896891217423
55,-15.582892963332725
56,-15.582889650380405
57,-15.58288685617098
58,-15.582884499511561
59,-15.582882511886428
60,-15.582880835490208
61,-15.582879421562051
62,-15.58287822897589
63,-15.582877223048449
64,-15.582876374532113
65,-15.58287565876417
66,-15.582875054948705
67,-15.582874545550617
68,-15.58287411578424
69,-15.582873753182152
70,-15.582873447231488
71,-15.582873189067193
72,-15.582872971213547
73,-15.582872787366115
74,-15.58287263220804
75,-15.58287250125506
76,-15.58287239072503
77,-15.582872297427688
78,-15.582872218672025
79,-15.582872152187873
80,-15.582872096060141
81,-15.582872048673035
82,-15.582872008663294
83,-15.582871974880671
84,-15.582871946354487
